id:ID(EVENT),event_type,type,event_subtype,publish_time,Entity_type
a09b5db50239111eb94400242ac110010,business,event,start_org,1602345600,event
a09b8ec64239111eb94400242ac110010,life,event,die,1602345600,event
a09b8eec6239111eb94400242ac110010,contact,event,phone_write,1602345600,event
a09b8f15a239111eb94400242ac110010,movement,event,transport,1602345600,event
a09b8f33a239111eb94400242ac110010,movement,event,transport,1602345600,event
a09b8f542239111eb94400242ac110010,movement,event,transport,1602345600,event
a09b8f77c239111eb94400242ac110010,movement,event,transport,1602345600,event
a09b8f9b6239111eb94400242ac110010,movement,event,transport,1602345600,event
a09b8fbf0239111eb94400242ac110010,personell,event,end_position,1602345600,event
a09b8fd58239111eb94400242ac110010,contact,event,meet,1602345600,event
a09b8fefc239111eb94400242ac110010,contact,event,meet,1602345600,event
a09b92cc4239111eb94400242ac110010,contact,event,meet,1602345600,event
a09bbc77c239111eb94400242ac110010,justice,event,arrest_jail,1602345600,event
a09bbd3c0239111eb94400242ac110010,justice,event,arrest_jail,1602345600,event
a09bbdcf8239111eb94400242ac110010,conflict,event,attack,1602345600,event
a09bbe2d4239111eb94400242ac110010,life,event,marry,1602345600,event
a09bbeac2239111eb94400242ac110010,life,event,marry,1602345600,event
a09bbed42239111eb94400242ac110010,movement,event,transport,1602345600,event
a09bbef86239111eb94400242ac110010,movement,event,transport,1602345600,event
a09be93f8239111eb94400242ac110010,life,event,marry,1602345600,event
a09be9790239111eb94400242ac110010,justice,event,arrest_jail,1602345600,event
a09c02db2239111eb94400242ac110010,justice,event,arrest_jail,1602345600,event
a09c032ee239111eb94400242ac110010,movement,event,transport,1602345600,event
a09c03690239111eb94400242ac110010,justice,event,arrest_jail,1602345600,event
a09c039ec239111eb94400242ac110010,movement,event,transport,1602345600,event
a09c03bb8239111eb94400242ac110010,contact,event,phone_write,1602345600,event
a09c03d84239111eb94400242ac110010,contact,event,meet,1602345600,event
a09c03f32239111eb94400242ac110010,justice,event,arrest_jail,1602345600,event
a09c0413a239111eb94400242ac110010,justice,event,arrest_jail,1602345600,event
a09c042f2239111eb94400242ac110010,movement,event,transport,1602345600,event
a09c04536239111eb94400242ac110010,justice,event,arrest_jail,1602345600,event
a09c04fae239111eb94400242ac110010,movement,event,transport,1602345600,event
a09c05292239111eb94400242ac110010,movement,event,transport,1602345600,event
a09c054ea239111eb94400242ac110010,conflict,event,attack,1602345600,event
a09c0567a239111eb94400242ac110010,life,event,die,1602345600,event
a09c0580a239111eb94400242ac110010,justice,event,arrest_jail,1602345600,event
a09c059cc239111eb94400242ac110010,justice,event,arrest_jail,1602345600,event
